"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 02 09:46:23 UTC 2026","Mon Mar 02 09:46:23 UTC 2026","52","src.tests.e2e","test_text_coding_e2e","TestCreateCodeFullPath","","","Create code via dialog persists to database","
        Creating a code through the dialog should persist it to the database.

        Flow:
        1. Open dialog (via show_new_code_dialog)
        2. Fill name and select color
        3. Click Create
        4. Verify code exists in database
        "
"passed","Mon Mar 02 09:46:04 UTC 2026","Mon Mar 02 09:46:04 UTC 2026","0","src.contexts.coding.infra.tests","test_vector_store","TestMockVectorStore","","","test_upsert_behavior","Adding same ID updates the item."
"passed","Mon Mar 02 09:46:13 UTC 2026","Mon Mar 02 09:46:13 UTC 2026","10","src.tests.e2e","test_folder_management_e2e","TestFolderPolicies","","","AC #3: clear_folder_assignment unassigns all sources in folder","Test the clear_folder_assignment repository method directly."
"passed","Mon Mar 02 09:46:05 UTC 2026","Mon Mar 02 09:46:05 UTC 2026","9","src.contexts.projects.presentation.dialogs.tests","test_project_dialog","TestOpenProjectDialogResult","","","test_open_accepts_dialog","Opening a project accepts the dialog."
"passed","Mon Mar 02 09:46:04 UTC 2026","Mon Mar 02 09:46:04 UTC 2026","1","src.contexts.coding.core.tests","test_ai_derivers","TestDeriveDetectDuplicates","","","test_fails_with_invalid_threshold_negative","Should fail when threshold is negative."
"passed","Mon Mar 02 09:46:26 UTC 2026","Mon Mar 02 09:46:26 UTC 2026","126","design_system.tests","test_screenshots","TestTreeScreenshots","","","test_code_tree","Screenshot code tree with hierarchy"
"passed","Mon Mar 02 09:46:04 UTC 2026","Mon Mar 02 09:46:04 UTC 2026","0","src.contexts.coding.core.tests","test_invariants","TestAreCodesMergeable","","","test_allows_merge_of_different_codes","Two different existing codes can be merged."
"passed","Mon Mar 02 09:46:10 UTC 2026","Mon Mar 02 09:46:10 UTC 2026","11","src.tests.e2e","test_case_manager_e2e","TestAddAttributeFlow","","","test_add_attribute_updates_summary","
        E2E: Adding attributes updates summary statistics.
        "
"passed","Mon Mar 02 09:46:26 UTC 2026","Mon Mar 02 09:46:27 UTC 2026","126","design_system.tests","test_screenshots","TestEditorScreenshots","","","test_code_editor","Screenshot code editor with syntax highlighting"
"passed","Mon Mar 02 09:46:04 UTC 2026","Mon Mar 02 09:46:04 UTC 2026","1","src.contexts.coding.infra.tests","test_llm_provider","TestCreateLLMProvider","","","test_creates_mock_provider","Factory creates MockLLMProvider for mock config."
"passed","Mon Mar 02 09:46:04 UTC 2026","Mon Mar 02 09:46:04 UTC 2026","0","src.contexts.coding.infra.tests","test_embedding_provider","TestEmbeddingConfig","","","test_for_openai","for_openai creates OpenAI config."
"passed","Mon Mar 02 09:46:03 UTC 2026","Mon Mar 02 09:46:03 UTC 2026","0","src.contexts.coding.core.tests","test_ai_invariants","TestIsSuggestionNameUnique","","","test_unique_in_empty_project","Any name is unique in a project with no codes."
"passed","Mon Mar 02 09:46:06 UTC 2026","Mon Mar 02 09:46:06 UTC 2026","0","src.shared.core.tests","test_validation","TestIsNameUnique","","","test_case_sensitive_when_enabled",""
"passed","Mon Mar 02 09:46:04 UTC 2026","Mon Mar 02 09:46:04 UTC 2026","1","src.contexts.coding.infra.tests","test_embedding_provider","TestEmbeddingConfig","","","test_default_config","Default config uses openai-compatible provider."
"passed","Mon Mar 02 09:46:23 UTC 2026","Mon Mar 02 09:46:23 UTC 2026","0","design_system.tests","test_media","TestTimeline","","","test_timeline_duration","Timeline should update duration"
"passed","Mon Mar 02 09:46:04 UTC 2026","Mon Mar 02 09:46:04 UTC 2026","0","src.contexts.coding.infra.tests","test_llm_provider","TestMockLLMProvider","","","test_prompts_are_recorded","Prompts sent to provider are recorded."
"passed","Mon Mar 02 09:46:04 UTC 2026","Mon Mar 02 09:46:04 UTC 2026","0","src.contexts.coding.infra.tests","test_embedding_provider","TestCreateEmbeddingProvider","","","test_unknown_provider_raises","Factory raises ValueError for unknown provider."
